,Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change,Reference Cell Type
109,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.084,0.065,0.026,0.44,2159.943771872493,0.0,STRd D2 Matrix MSN
1,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.083,0.133,0.04,0.412,1766.7215241280187,0.0,Vip_14
71,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.083,0.063,0.027,0.431,2082.805011115059,0.0,STRd D2 StrioMat Hybrid MSN
145,CPS,STRd D1 Matrix MSN,0.0,-0.193,0.17,0.062,0.37,2126.389472395178,0.0,STR VIP GABA
109,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.083,0.055,0.027,0.432,2126.389472395178,0.0,STR VIP GABA
109,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.083,0.05,0.024,0.424,2126.5275835187235,0.0,STRv D2 MSN
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.018,0.247,0.082,0.708,2120.783050115764,0.0,Vip_5
73,Sex_codes,STRd D1 Matrix MSN,0.0,-0.108,0.035,0.032,0.513,2130.2198568341187,0.0,STR PVALB-RSPO2 GABA
73,Sex_codes,STRd D1 Matrix MSN,0.0,-0.101,0.027,0.031,0.474,2061.5238322663886,0.0,Vip_1
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.042,0.226,0.076,0.623,2121.86213524601,0.0,Vip_18
145,CPS_AT8,STRd D1 Matrix MSN,0.0,-0.061,0.374,0.116,0.626,2077.3826620032505,0.0,STR TAC3-PLPP4 GABA
106,Braak_codes,STRd D1 Matrix MSN,1.3607331083131624,1.034,1.771,0.197,1.0,2445.0250563960544,0.4662591568455035,STR TAC3-PLPP4-LHX8 GABA
109,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.08,0.054,0.027,0.466,2121.6972811436112,0.0,OB-in Frmd7 Gaba
36,Sex_codes,STRd D1 Matrix MSN,0.0,-0.149,0.029,0.048,0.595,1786.8045905812914,0.0,STR TAC3-PLPP4 GABA
71,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.143,0.049,0.054,0.678,1920.3474548019428,0.0,Vip_15
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.027,0.224,0.074,0.686,2130.861054206141,0.0,STRv D1 MSN
1,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.096,0.118,0.037,0.393,1769.8046104416185,0.0,STR TAC3-PLPP4-LHX8 GABA
71,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.132,0.046,0.041,0.493,1936.814553717198,0.0,STRd D1 Striosome MSN
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.086,0.12,0.034,0.386,2128.5484255960723,0.0,Vip_14
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.036,0.234,0.077,0.624,2128.2025973560685,0.0,STRv D1 NUDAP MSN
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.021,0.223,0.071,0.609,2122.7292165154868,0.0,STRd D2 Striosome MSN
106,Thal_codes,STRd D1 Matrix MSN,0.0,-0.062,0.265,0.089,0.57,2060.899696697966,-0.0251830289695478,STRd D2 Matrix MSN
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.115,0.144,0.043,0.417,2075.155940318866,0.0,BG LAMP5-CXCL14 GABA
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.02,0.255,0.078,0.62,2136.044706354942,0.0,LSX GABA
106,Thal_codes,STRd D1 Matrix MSN,0.0,-0.062,0.287,0.076,0.46,2083.8391484461567,0.0,Vip_13
73,Sex_codes,STRd D1 Matrix MSN,0.0,-0.108,0.018,0.03,0.5,2121.86213524601,0.0,Vip_18
106,Thal_codes,STRd D1 Matrix MSN,0.0,-0.102,0.266,0.073,0.429,2085.371137169936,0.0,Vip_11
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.095,0.114,0.035,0.392,2103.1782987890497,0.0,STR FS PTHLH-PVALB GABA
1,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.116,0.097,0.036,0.432,1987.8509203791368,0.0,STR FS PTHLH-PVALB GABA
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.087,0.114,0.036,0.425,2097.632278589046,0.0,STR FS PTHLH-PVALB GABA
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.086,0.152,0.036,0.333,2100.136569991108,0.0,Vip_21
36,Sex_codes,STRd D1 Matrix MSN,0.0,-0.137,0.039,0.048,0.602,1773.7707438925358,0.0,STRd D1 Striosome MSN
73,Sex_codes,STRd D1 Matrix MSN,0.0,-0.101,0.042,0.031,0.473,2127.6113155284734,0.0,STRd D2 StrioMat Hybrid MSN
36,Sex_codes,STRd D1 Matrix MSN,0.0,-0.172,0.023,0.058,0.672,1921.2143959768816,0.0,STRv D1 MSN
36,Sex_codes,STRd D1 Matrix MSN,0.0,-0.127,0.028,0.037,0.498,1766.8521736961766,0.0,Vip_19
73,Sex_codes,STRd D1 Matrix MSN,0.0,-0.114,0.039,0.036,0.528,2073.593383249968,0.0,Vip_18
1,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.109,0.113,0.04,0.464,2083.7572585635,0.0,Vip_1
106,Braak_codes,STRd D1 Matrix MSN,1.3808346961177198,0.966,1.721,0.198,1.0,2429.7458535616947,0.4580781391412239,Vip_6
73,Sex_codes,STRd D1 Matrix MSN,0.0,-0.091,0.038,0.029,0.478,2129.108050649849,0.0,Vip_13
73,Sex_codes,STRd D1 Matrix MSN,0.0,-0.115,0.03,0.032,0.468,2121.339283591776,0.0,Vip_14
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.042,0.252,0.077,0.561,2078.3293619345395,0.0,LSX GABA
106,Braak_codes,STRd D1 Matrix MSN,1.1539035305844283,0.805,1.489,0.184,1.0,2428.770530346159,0.4560503702566649,STRd D1D2 Hybrid MSN
106,ADNC_codes,STRd D1 Matrix MSN,0.2664034506021783,0.059,0.501,0.126,0.947,2321.458275917689,0.2437581388328451,STR TAC3-PLPP4 GABA
109,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.072,0.05,0.023,0.459,2125.670924476928,0.0,STRv D2 MSN
145,CPS,STRd D1 Matrix MSN,0.0,-0.165,0.218,0.066,0.413,2121.86213524601,0.0,Vip_18
36,Sex_codes,STRd D1 Matrix MSN,0.0,-0.173,0.016,0.059,0.681,1918.323422406232,0.0,Vip_18
145,CPS,STRd D1 Matrix MSN,0.0,-0.201,0.232,0.075,0.425,2119.723211214251,0.0,Vip_16
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.106,0.123,0.039,0.395,2121.084977705926,0.0,Vip_16
71,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.193,0.008,0.064,0.706,1773.7707438925358,0.0,STRd D1 Striosome MSN
1,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.07,0.158,0.041,0.46,1766.8521736961766,0.0,Vip_19
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.04,0.202,0.062,0.534,2145.799437937192,0.0,STRv D1 MSN
145,CPS,STRd D1 Matrix MSN,0.0,-0.214,0.184,0.069,0.426,2130.2198568341187,0.0,STR PVALB-RSPO2 GABA
71,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.085,0.053,0.026,0.456,2087.046706973588,0.0,STRv D1 NUDAP MSN
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.083,0.129,0.037,0.416,2128.154226700581,0.0,Vip_12
1,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.1,0.103,0.037,0.426,2082.286665623444,0.0,STRd D1D2 Hybrid MSN
36,Sex_codes,STRd D1 Matrix MSN,0.0,-0.146,0.02,0.049,0.671,1945.6984003613177,0.0,STRd D2 Matrix MSN
1,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.107,0.099,0.037,0.428,2083.8391484461567,0.0,Vip_13
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.025,0.239,0.076,0.614,2129.4283282284105,0.0,Vip_19
109,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.076,0.053,0.025,0.454,2119.723211214251,0.0,Vip_16
1,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.072,0.121,0.038,0.445,1773.7707438925358,0.0,STRd D1 Striosome MSN
36,Sex_codes,STRd D1 Matrix MSN,0.0,-0.124,0.05,0.041,0.539,1764.3423928861002,0.0,STR PVALB-RSPO2 GABA
106,ADNC_codes,STRd D1 Matrix MSN,0.6242645092920264,0.249,0.967,0.195,1.0,2304.741336307392,0.2630619586413549,STR VIP GABA
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.035,0.24,0.08,0.661,2129.108050649849,0.0,Vip_13
71,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.216,0.015,0.072,0.759,1771.8665956500015,0.0,STRv D1 MSN
145,CPS_AT8,STRd D1 Matrix MSN,0.0,-0.023,0.472,0.147,0.67,2071.1961458263154,0.0,Vip_19
109,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.085,0.057,0.028,0.474,2073.593383249968,0.0,Vip_18
109,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.082,0.056,0.025,0.444,2136.044706354942,0.0,LSX GABA
145,CPS_6e10,STRd D1 Matrix MSN,0.0,-0.252,0.093,0.082,0.541,2121.339283591776,0.0,Vip_14
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.035,0.243,0.078,0.628,2120.42374013356,0.0,Vip_6
106,Braak_codes,STRd D1 Matrix MSN,1.3626680452960531,0.996,1.73,0.198,1.0,2443.142818941532,0.4675568620564839,Vip_19
73,Sex_codes,STRd D1 Matrix MSN,0.0,-0.103,0.025,0.029,0.478,2119.723211214251,0.0,Vip_16
73,Sex_codes,STRd D1 Matrix MSN,0.0,-0.111,0.028,0.03,0.475,2128.154226700581,0.0,Vip_12
106,Braak_codes,STRd D1 Matrix MSN,1.3893715520166747,1.036,1.724,0.18,1.0,2427.735486334251,0.4543412544154427,STRv D1 MSN
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.075,0.126,0.037,0.424,2161.8602571831834,0.0,STRd D2 Matrix MSN
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.096,0.134,0.038,0.414,2115.633448092992,0.0,STRd D1D2 Hybrid MSN
36,Sex_codes,STRd D1 Matrix MSN,0.0,-0.159,0.018,0.049,0.656,1987.8509203791368,0.0,STR FS PTHLH-PVALB GABA
71,APOE4_Status_codes,STRd D1 Matrix MSN,-0.1013836645556398,-0.219,0.018,0.074,0.809,1633.7858038259133,-0.1129624872135186,Vip_19
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.108,0.112,0.038,0.429,2129.108050649849,0.0,Vip_13
106,Thal_codes,STRd D1 Matrix MSN,0.0,-0.072,0.28,0.08,0.464,2085.6166496218507,0.0,Vip_23
145,CPS_AT8,STRd D1 Matrix MSN,0.0,-0.084,0.422,0.15,0.675,2068.980586618396,0.0,STR PVALB-RSPO2 GABA
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.065,0.146,0.038,0.408,2127.0166715144805,0.0,STRd D2 Striosome MSN
71,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.162,0.026,0.049,0.571,1920.5811003582749,0.0,STR VIP GABA
71,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.209,0.008,0.071,0.753,1768.7464834453358,0.0,Vip_6
36,Sex_codes,STRd D1 Matrix MSN,0.0,-0.122,0.033,0.036,0.528,1766.6966891695029,0.0,STR SST-RSPO2 GABA
106,Thal_codes,STRd D1 Matrix MSN,0.0,-0.073,0.275,0.075,0.433,2087.046706973588,0.0,STRv D1 NUDAP MSN
71,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.095,0.053,0.028,0.443,2070.612466892546,0.0,STR TAC3-PLPP4 GABA
1,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.09,0.118,0.037,0.42,2080.981912810943,0.0,Vip_5
109,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.069,0.062,0.026,0.44,2121.339283591776,0.0,Vip_14
145,CPS_AT8,STRd D1 Matrix MSN,0.0,-0.048,0.442,0.147,0.64,2075.155940318866,0.0,BG LAMP5-CXCL14 GABA
145,CPS_AT8,STRd D1 Matrix MSN,0.0,-0.027,0.451,0.145,0.591,2087.225232586751,0.0,Vip_2
109,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.094,0.055,0.028,0.46,2117.013294397975,0.0,STR SST-RSPO2 GABA
106,Thal_codes,STRd D1 Matrix MSN,0.0,-0.082,0.289,0.081,0.457,2079.9951002019893,0.0,Vip_9
106,Braak_codes,STRd D1 Matrix MSN,0.8481700788607401,0.571,1.111,0.144,1.0,2513.869684525127,0.5030903079982887,STRd D1 Striosome MSN
109,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.09,0.056,0.025,0.441,2127.6113155284734,0.0,STRd D2 StrioMat Hybrid MSN
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.075,0.123,0.034,0.38,2129.3894378474515,0.0,Vip_5
71,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.219,0.009,0.072,0.763,1773.014552807076,0.0,Vip_1
1,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.109,0.093,0.036,0.443,1960.570081281085,0.0,STR TAC3-PLPP4 GABA
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.028,0.223,0.073,0.671,2070.008436408339,0.0,Vip_21
73,Sex_codes,STRd D1 Matrix MSN,0.0,-0.109,0.024,0.033,0.474,2078.3293619345395,0.0,LSX GABA
145,CPS_6e10,STRd D1 Matrix MSN,0.0,-0.282,0.065,0.088,0.552,2123.105673478949,0.0,STR PVALB-RSPO2 GABA
109,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.089,0.063,0.029,0.462,2069.3722122943527,0.0,OB-in Frmd7 Gaba
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.052,0.227,0.07,0.52,2073.593383249968,0.0,Vip_18
1,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.106,0.12,0.037,0.413,1920.5811003582749,0.0,STR VIP GABA
36,Sex_codes,STRd D1 Matrix MSN,0.0,-0.137,0.024,0.038,0.525,2081.6743051454264,0.0,Sst Chodl_2
145,CPS_6e10,STRd D1 Matrix MSN,0.0,-0.285,0.081,0.09,0.545,2129.108050649849,0.0,Vip_13
36,Sex_codes,STRd D1 Matrix MSN,0.0,-0.131,0.024,0.041,0.551,2083.8391484461567,0.0,Vip_13
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.054,0.145,0.034,0.385,2130.1093145316763,0.0,Vip_2
71,APOE4_Status_codes,STRd D1 Matrix MSN,-0.0948655015062045,-0.2,0.021,0.07,0.752,1645.60643054236,-0.1055564840650358,STRd D1D2 Hybrid MSN
73,Sex_codes,STRd D1 Matrix MSN,0.0,-0.098,0.035,0.031,0.493,2132.54649810147,0.0,STRd D1 Striosome MSN
71,APOE4_Status_codes,STRd D1 Matrix MSN,-0.0865753838786989,-0.2,0.016,0.067,0.779,1659.9080300954147,-0.0961790249631943,STRd D2 Striosome MSN
36,Sex_codes,STRd D1 Matrix MSN,0.0,-0.137,0.029,0.04,0.529,1773.014552807076,0.0,Vip_1
71,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.165,0.028,0.051,0.553,1918.323422406232,0.0,Vip_18
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.037,0.173,0.055,0.508,2097.632278589046,0.0,STR FS PTHLH-PVALB GABA
145,CPS_6e10,STRd D1 Matrix MSN,0.0,-0.309,0.053,0.088,0.533,2120.783050115764,0.0,Vip_5
1,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.126,0.096,0.038,0.419,2097.189634064263,0.0,STRd D2 Matrix MSN
73,Sex_codes,STRd D1 Matrix MSN,0.0,-0.095,0.03,0.029,0.469,2129.3894378474515,0.0,Vip_5
145,CPS_6e10,STRd D1 Matrix MSN,0.0,-0.264,0.103,0.088,0.577,2132.912050698249,0.0,STR TAC3-PLPP4-LHX8 GABA
106,Braak_codes,STRd D1 Matrix MSN,1.3486868341636449,1.017,1.73,0.194,1.0,2430.140994891153,0.4571209242910591,STRv D1 NUDAP MSN
106,ADNC_codes,STRd D1 Matrix MSN,0.4807296677506157,0.239,0.755,0.136,1.0,2257.177320563013,0.219125672370449,STRd D2 Striosome MSN
106,Braak_codes,STRd D1 Matrix MSN,0.9255794156687304,0.66,1.233,0.151,1.0,2443.7790901844305,0.4618315421480804,STRd D2 Striosome MSN
1,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.095,0.121,0.038,0.42,2071.9380408641805,0.0,STR FS PTHLH-PVALB GABA
145,CPS,STRd D1 Matrix MSN,0.0,-0.147,0.225,0.061,0.348,2082.734261843829,-0.0235515529836607,STR SST-RSPO2 GABA
106,Thal_codes,STRd D1 Matrix MSN,0.0,-0.105,0.266,0.08,0.452,2086.5013531961977,0.0,Vip_21
36,Sex_codes,STRd D1 Matrix MSN,0.0,-0.15,0.025,0.043,0.531,1774.3398127427315,0.0,STRd D2 Striosome MSN
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.031,0.24,0.079,0.653,2121.011968035109,0.0,STRd D1D2 Hybrid MSN
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.086,0.13,0.039,0.425,2121.339283591776,0.0,Vip_14
73,Sex_codes,STRd D1 Matrix MSN,0.0,-0.11,0.031,0.032,0.478,2118.123727024745,0.0,STRd D2 StrioMat Hybrid MSN
1,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,0.0,0.0,0.0,0.0,2092.187581233516,0.0,STRd D1 Matrix MSN
71,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.132,0.039,0.039,0.498,1960.570081281085,0.0,STR TAC3-PLPP4 GABA
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.092,0.134,0.041,0.416,2082.937301346897,0.0,Vip_6
109,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.111,0.039,0.028,0.45,2078.1608484634908,0.0,Vip_5
36,Sex_codes,STRd D1 Matrix MSN,0.0,-0.167,0.019,0.054,0.68,1920.5811003582749,0.0,STR VIP GABA
36,Sex_codes,STRd D1 Matrix MSN,0.0,-0.133,0.034,0.04,0.521,2082.7508666035906,0.0,Vip_2
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.073,0.167,0.041,0.397,2073.593383249968,0.0,Vip_18
106,Braak_codes,STRd D1 Matrix MSN,1.3773909348512627,1.006,1.76,0.199,1.0,2423.251668564209,0.4507398668651735,Vip_1
71,APOE4_Status_codes,STRd D1 Matrix MSN,-0.1036120892517491,-0.21,0.02,0.071,0.823,1630.796685386793,-0.1154774460700119,STR SST-RSPO2 GABA
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.082,0.129,0.039,0.424,2078.3293619345395,0.0,LSX GABA
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.043,0.235,0.078,0.596,2129.3894378474515,0.0,Vip_5
145,CPS,STRd D1 Matrix MSN,0.0,-0.106,0.226,0.059,0.388,2159.943771872493,0.0,STRd D2 Matrix MSN
1,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.062,0.119,0.033,0.437,1774.3398127427315,0.0,STRd D2 Striosome MSN
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.04,0.229,0.07,0.553,2064.916908751492,0.0,Vip_14
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.097,0.115,0.039,0.418,2130.861054206141,0.0,STRv D1 MSN
109,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.081,0.058,0.026,0.42,2129.108050649849,0.0,Vip_13
73,Sex_codes,STRd D1 Matrix MSN,0.0,-0.093,0.034,0.029,0.481,2136.044706354942,0.0,LSX GABA
106,Thal_codes,STRd D1 Matrix MSN,0.0,-0.098,0.25,0.078,0.48,2083.7572585635,0.0,Vip_1
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.021,0.242,0.08,0.704,2127.0166715144805,0.0,STRd D2 Striosome MSN
106,Thal_codes,STRd D1 Matrix MSN,0.0,-0.092,0.212,0.061,0.443,2070.612466892546,0.0,STR TAC3-PLPP4 GABA
36,Sex_codes,STRd D1 Matrix MSN,0.0,-0.131,0.019,0.038,0.54,2087.046706973588,0.0,STRv D1 NUDAP MSN
36,Sex_codes,STRd D1 Matrix MSN,0.0,-0.158,0.021,0.053,0.646,1960.570081281085,0.0,STR TAC3-PLPP4 GABA
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.03,0.233,0.076,0.577,2131.582484844075,0.0,Vip_1
71,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.153,0.041,0.044,0.555,1921.2143959768816,0.0,STRv D1 MSN
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.018,0.25,0.082,0.676,2121.339283591776,0.0,Vip_14
145,CPS_AT8,STRd D1 Matrix MSN,0.0,-0.059,0.435,0.142,0.644,2078.292076380589,0.0,Vip_9
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.083,0.13,0.038,0.397,2077.3826620032505,0.0,STR TAC3-PLPP4 GABA
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.117,0.124,0.039,0.377,2069.3722122943527,0.0,OB-in Frmd7 Gaba
71,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.162,0.031,0.047,0.564,1919.993558639817,0.0,STRv D2 MSN
71,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.085,0.062,0.027,0.435,2083.7572585635,0.0,Vip_1
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.02,0.234,0.07,0.547,2130.2198568341187,0.0,STR PVALB-RSPO2 GABA
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.033,0.22,0.077,0.593,2118.859303880712,0.0,Vip_9
36,Sex_codes,STRd D1 Matrix MSN,0.0,-0.172,0.02,0.056,0.661,1922.950453549169,0.0,Vip_5
1,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.072,0.134,0.041,0.435,1769.2108313630515,0.0,Vip_2
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.099,0.144,0.043,0.44,2159.943771872493,0.0,STRd D2 Matrix MSN
73,Sex_codes,STRd D1 Matrix MSN,0.0,-0.099,0.036,0.029,0.466,2125.7260585977465,0.0,Vip_15
36,Sex_codes,STRd D1 Matrix MSN,0.0,-0.133,0.026,0.041,0.544,2077.981108205818,0.0,STR VIP GABA
145,CPS,STRd D1 Matrix MSN,0.0,-0.218,0.16,0.07,0.444,2115.7870800898245,0.0,Vip_23
1,method[T.10xV3.1_HT],STRd D1 Matrix MSN,0.0,-0.04,0.249,0.075,0.6,2080.425337209702,0.0,STRv D2 MSN
106,ADNC_codes,STRd D1 Matrix MSN,0.6067795481123054,0.248,0.956,0.196,0.999,2291.03556105482,0.2517220056674952,STR TAC3-PLPP4-LHX8 GABA
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.092,0.13,0.039,0.423,2116.083782041422,0.0,Vip_2
1,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.113,0.087,0.036,0.418,1918.714964300252,0.0,LSX GABA
109,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.092,0.049,0.029,0.454,2068.2532550830138,0.0,STR SST-RSPO2 GABA
145,CPS,STRd D1 Matrix MSN,0.0,-0.185,0.22,0.065,0.349,2119.512769959654,0.0,STR TAC3-PLPP4-LHX8 GABA
109,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.111,0.038,0.03,0.467,2079.4051825883034,0.0,Vip_16
71,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.097,0.054,0.028,0.439,2085.281065647255,0.0,Vip_14
106,Braak_codes,STRd D1 Matrix MSN,1.380545020117582,1.028,1.794,0.203,1.0,2440.5742086104347,0.4626982369590534,LSX GABA
71,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.09,0.054,0.027,0.431,2075.5924233740925,0.0,STR TAC3-PLPP4-LHX8 GABA
1,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.1,0.099,0.033,0.423,2082.9181444298742,0.0,STR SST-RSPO2 GABA
73,Sex_codes,STRd D1 Matrix MSN,0.0,-0.111,0.033,0.032,0.493,2077.135913991004,0.0,STRd D1D2 Hybrid MSN
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.107,0.125,0.038,0.41,2119.512769959654,0.0,STR TAC3-PLPP4-LHX8 GABA
36,Sex_codes,STRd D1 Matrix MSN,0.0,-0.162,0.025,0.055,0.645,1920.7246526351576,0.0,STR SST-RSPO2 GABA
109,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.057,0.074,0.022,0.401,2161.8602571831834,0.0,STRd D2 Matrix MSN
73,Sex_codes,STRd D1 Matrix MSN,0.0,-0.116,0.035,0.033,0.46,2063.2077434886723,0.0,Vip_12
73,Sex_codes,STRd D1 Matrix MSN,0.0,-0.109,0.033,0.033,0.52,2066.861359024982,0.0,Sst Chodl_1
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.086,0.132,0.041,0.448,2122.356021981034,0.0,BG LAMP5-CXCL14 GABA
106,Braak_codes,STRd D1 Matrix MSN,1.3752629575106334,0.972,1.714,0.2,1.0,2442.3477805556536,0.4638925020320517,Vip_4
71,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.147,0.052,0.048,0.542,1922.950453549169,0.0,Vip_5
71,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.167,0.035,0.05,0.547,1923.5806518241147,0.0,Vip_13
106,Braak_codes,STRd D1 Matrix MSN,1.3758567113615885,1.022,1.754,0.2,1.0,2446.0270686876743,0.4713098081513036,STR PVALB-RSPO2 GABA
1,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.075,0.131,0.036,0.42,1769.0004575521891,0.0,Vip_16
1,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.111,0.082,0.034,0.421,1924.225457255989,0.0,STR TAC3-PLPP4-LHX8 GABA
71,APOE4_Status_codes,STRd D1 Matrix MSN,0.0,-0.172,0.028,0.048,0.525,1918.714964300252,0.0,LSX GABA
73,Sex_codes,STRd D1 Matrix MSN,0.0,-0.123,0.032,0.034,0.466,2079.555960818465,0.0,STRd D1 Striosome MSN
106,ADNC_codes,STRd D1 Matrix MSN,0.670580709742409,0.334,1.002,0.182,1.0,2272.514950221536,0.2440738021821213,Vip_21
106,Thal_codes,STRd D1 Matrix MSN,0.0,-0.076,0.313,0.083,0.483,2076.9680817805083,0.0,Vip_6
37,Age_at_Death_binned_codes,STRd D1 Matrix MSN,0.0,-0.097,0.128,0.041,0.432,2138.5254894744635,0.0,Vip_4
